Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2475735,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,72,,,3283.92,,,24.15,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,23/12/2021,2478322,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,24,,,3677.04,,,35.42,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,23/12/2021,2478324,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,112,,,17159.52,,,37.57,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO HOMBRE URBANO,21/12/2021,2475734,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,36,,,4039.56,,,12.08,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO HOMBRE URBANO,21/12/2021,2475742,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,192,,,21914.4,,,283.40,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO HOMBRE URBANO,21/12/2021,2477584,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,24,,,2816.16,,,35.42,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO HOMBRE URBANO,21/12/2021,2475746,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,1222,,,129635.66,,,409.93,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO HOMBRE URBANO,21/12/2021,2477586,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,492,,,57362.4,,,165.05,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO HOMBRE URBANO,21/12/2021,2475738,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,490,,,29834,,,164.38,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO HOMBRE URBANO,21/12/2021,2475757,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,205,,,28076.8,,,68.77,,
PERFUMERIAS UNIDAS S.A.,2010103177,BELLEZA,PERF. SELECTIVA,23/12/2021,2478375,SHISEIDO,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,,26,,,3950.22,,,4.65,,
BRANDSMART INTERNATIONAL S.A.C.,2060241389,HOMBRE,MARCAS JUVENIL NACIONAL HOMBRE,22/12/2021,2477892,LOIS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,,,40,,,1718.56,,,37.12,
BRANDSMART INTERNATIONAL S.A.C.,2060241389,HOMBRE,MARCAS JUVENIL NACIONAL HOMBRE,22/12/2021,2477893,LOIS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,1624,,,117193.31,,,363.19,,
BRANDSMART INTERNATIONAL S.A.C.,2060241389,HOMBRE,MARCAS JUVENIL NACIONAL HOMBRE,22/12/2021,2477574,BRONCO,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,2955,,,211442.46,,,660.85,,
BRANDSMART INTERNATIONAL S.A.C.,2060241389,HOMBRE,MARCAS JUVENIL NACIONAL HOMBRE,22/12/2021,2477573,BRONCO,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,,,15,,,1372.8,,,13.92,
